Episode,Reward,Length,Epsilon,Termination,Loss
53,51.993351347925795,199,0.01999089815867558,crash,0.9111549962106062
54,-244.85417300141262,213,0.01999089815867558,crash,0.8691533634640242
55,-191.43046793963055,117,0.01999089815867558,crash,0.8877331354679205
56,-234.71415725024715,553,0.01999089815867558,crash,0.887779742263756
57,-76.99457904046234,1000,0.01999089815867558,out-of-view,0.8829548460543155
58,-314.5811400576689,316,0.01999089815867558,crash,0.8660176651953142
59,184.44375672744036,475,0.01999089815867558,sleep,0.8841066649085597
60,-59.524360522196936,1000,0.01999089815867558,out-of-view,0.8875727809369564
61,-147.4125358067809,1000,0.01999089815867558,out-of-view,0.9007326275706291
62,-129.78419997863472,363,0.01999089815867558,crash,0.9247753761359812
63,-42.120592370780074,1000,0.01999089815867558,out-of-view,0.895990860760212
64,-108.14803114873867,282,0.01999089815867558,crash,0.8498070553896275
65,-139.25805931060933,524,0.01999089815867558,crash,0.8915322789822826
66,188.96866088488045,545,0.01999089815867558,sleep,0.8969583941709011
67,-45.23825146897407,1000,0.01999089815867558,out-of-view,0.874328606158495
68,-128.36385469849043,1000,0.01999089815867558,out-of-view,0.8685859045088291
69,-114.59853698958054,1000,0.01999089815867558,out-of-view,0.8578085812330246
70,-104.46254525278466,1000,0.01999089815867558,out-of-view,0.8634898584485055
71,-141.07667080173303,415,0.01999089815867558,crash,0.8998222257717546
72,-135.92342367354115,138,0.01999089815867558,crash,0.8051844308341759
73,-125.88709327684812,1000,0.01999089815867558,out-of-view,0.8633927099704742
74,-84.0397405575413,1000,0.01999089815867558,out-of-view,0.8775745176076889
75,-233.4809169906005,742,0.01999089815867558,crash,0.9228326619635374
76,-57.507563076728644,1000,0.01999089815867558,out-of-view,0.8717768241763115
77,-187.1823839977123,173,0.01999089815867558,crash,0.9414178835863323
78,-90.39135652411592,1000,0.01999089815867558,out-of-view,0.8610361540615559
79,-101.61108771448643,1000,0.01999089815867558,out-of-view,0.8633628851771354
80,-93.97701529247452,1000,0.01999089815867558,out-of-view,0.8364047900438308
81,-93.82496139355553,1000,0.01999089815867558,out-of-view,0.843864611685276
82,20.811074820458035,1000,0.01999089815867558,out-of-view,0.8424406358599663
83,-32.34903724972373,1000,0.01999089815867558,out-of-view,0.827882763415575
84,-1.6174792017232509,1000,0.01999089815867558,out-of-view,0.831971331179142
85,-36.25515779355754,1000,0.01999089815867558,out-of-view,0.7850756866335868
86,-14.550097419982652,1000,0.01999089815867558,out-of-view,0.8338391102254391
87,-164.34841142022663,1000,0.01999089815867558,out-of-view,0.7500839569270611
88,-0.04234889994630464,132,0.01999089815867558,crash,0.7399653799154542
89,-68.74243927632217,1000,0.01999089815867558,out-of-view,0.7551287424564361
90,-56.82739405972653,1000,0.01999089815867558,out-of-view,0.7452110693156719
