Episode,Reward,Length,Epsilon
566,-229.79814089102356,316,0.05830244700006734
567,-148.7535084321719,161,0.058010934765067
568,-314.0781486558499,808,0.05772088009124167
569,-137.7849967388491,398,0.05743227569078546
570,-167.25066785885446,79,0.05714511431233153
571,-91.08165460199997,352,0.05685938874076987
572,-93.49458562695868,298,0.056575091797066025
573,-186.9949571032658,324,0.056292216338080694
574,-104.99233678708521,1000,0.05601075525639029
575,-337.6603213423946,768,0.05573070148010834
576,-259.046162367364,290,0.0554520479727078
577,-209.11685872103146,547,0.05517478773284426
578,-132.14050387969831,127,0.05489891379418004
579,-152.72718478150324,423,0.05462441922520914
580,-302.5918941018352,580,0.0543512971290831
581,-183.89362410195395,92,0.05407954064343768
582,-232.354882011789,495,0.05380914294022049
583,-133.35980443812264,147,0.05354009722551939
584,-191.7549020816471,331,0.05327239673939179
585,-193.541139099041,104,0.053006034755694834
586,-261.165491132064,377,0.052741004581916356
587,-109.85460115428879,142,0.052477299559006776
588,-190.62487239900918,126,0.052214913061211746
589,-158.0229141047742,133,0.05195383849590569
590,-211.7215710859268,330,0.05169406930342616
591,-236.88862890270033,358,0.05143559895690903
592,-153.6918244511336,509,0.051178420962124486
593,-203.705958673488,132,0.05092252885731386
594,-223.64120432060753,118,0.05066791621302729
595,-172.3130531984583,328,0.05041457663196215
596,-149.77432377707544,154,0.050162503748802344
597,-246.14818090057233,466,0.049911691230058335
598,-256.32962159206085,510,0.04966213277390804
599,-177.13272263309787,440,0.0494138221100385
600,-178.43299965018903,511,0.04916675299948831
601,-111.96700313495845,1000,0.04892091923449087
602,-265.22668053977253,433,0.04867631463831842
603,-325.96670646895234,993,0.048432933065126825
604,-248.89954252976932,754,0.048190768399801194
605,-230.61857295345104,488,0.04794981455780219
606,-238.15234842379593,825,0.04771006548501318
607,-77.58587718506573,1000,0.047471515157588115
608,-216.10685346284714,626,0.047234157581800176
609,-216.21508733704923,866,0.046997986793891174
610,-109.0529423964414,1000,0.04676299685992172
611,-98.66044968311957,103,0.04652918187562211
612,-27.63826825509922,1000,0.046296535966244
613,-239.55664776149652,458,0.046065053286412784
614,-120.6772818707226,1000,0.04583472801998072
